,C.Sales,Location,Rep.Sales,Received Inventory,Inventory Stock,L.Sales,M.Sales,Actual
0,2,Port Harcourt,4.62,5000,1200.0,1.89,4.224,9.6
1,0,Port Harcourt,4.62,2000,480.0,1.89,4.224,9.6
2,3,Port Harcourt,8.58,6000,1320.0,3.51,7.744,17.6
3,3,Port Harcourt,10.12,2000,960.0,4.14,9.196,20.9
4,0,Port Harcourt,2.2,4000,600.0,0.9,1.98,4.5
5,2,Port Harcourt,5.28,2000,240.0,2.16,4.884,11.1
6,3,Port Harcourt,5.06,2000,240.0,2.07,4.6464,10.56
7,1,Port Harcourt,5.5,1000,480.0,2.25,4.95,11.25
8,2,Port Harcourt,4.62,3000,840.0,1.89,4.18,9.5
9,3,Port Harcourt,6.6,2000,600.0,2.7,6.0368,13.72
10,2,Abeokuta,4.62,6000,3500.0,1.89,2.112,9.6
11,0,Abeokuta,4.62,3000,1400.0,1.89,2.112,9.6
12,3,Abeokuta,8.58,8000,3850.0,3.51,3.872,17.6
13,3,Abeokuta,10.12,5000,2800.0,4.14,4.598,20.9
14,0,Abeokuta,2.2,5000,1750.0,0.9,0.99,4.5
15,2,Abeokuta,5.28,4000,700.0,2.16,2.442,11.1
16,3,Abeokuta,5.06,1000,700.0,2.07,2.3232,10.56
17,1,Abeokuta,5.5,3000,1400.0,2.25,2.475,11.25
18,2,Abeokuta,4.62,7000,2450.0,1.89,2.09,9.5
19,3,Abeokuta,6.6,2000,1750.0,2.7,3.0184,13.72
20,1,Warri,4.83,6000,600.0,0.84,3.5904,9.6
21,3,Warri,4.83,3000,240.0,0.84,3.5904,9.6
22,4,Warri,8.97,8000,660.0,1.56,6.5824,17.6
23,4,Warri,10.58,5000,480.0,1.84,7.8166,20.9
24,0,Warri,2.3,5000,300.0,0.4,1.683,4.5
25,3,Warri,5.52,4000,120.0,0.96,4.1514,11.1
26,2,Warri,5.29,1000,120.0,0.92,3.94944,10.56
27,1,Warri,5.75,3000,240.0,1.0,4.2075,11.25
28,4,Warri,4.83,7000,420.0,0.84,3.553,9.5
29,2,Warri,6.9,2000,300.0,1.2,5.13128,13.72
30,1,Abeokuta,4.83,5000,600.0,0.84,3.8016,9.6
31,3,Abeokuta,4.83,2000,240.0,0.84,3.8016,9.6
32,4,Abeokuta,8.97,6000,660.0,1.56,6.9696,17.6
33,4,Abeokuta,10.58,2000,480.0,1.84,8.2764,20.9
34,0,Abeokuta,2.3,4000,300.0,0.4,1.782,4.5
35,3,Abeokuta,5.52,2000,120.0,0.96,4.3956,11.1
36,2,Abeokuta,5.29,2000,120.0,0.92,4.18176,10.56
37,1,Abeokuta,5.75,1000,240.0,1.0,4.455,11.25
38,4,Abeokuta,4.83,3000,420.0,0.84,3.762,9.5
39,2,Abeokuta,6.9,2000,300.0,1.2,5.43312,13.72
40,5,Warri,4.2,3000,500.0,1.05,1.6896,9.6
41,4,Warri,4.2,2000,200.0,1.05,1.6896,9.6
42,8,Warri,7.8,5000,550.0,1.95,3.0976,17.6
43,9,Warri,9.2,3000,400.0,2.3,3.6784,20.9
44,2,Warri,2.0,4000,250.0,0.5,0.792,4.5
45,5,Warri,4.8,1000,100.0,1.2,1.9536,11.1
46,4,Warri,4.6,1000,100.0,1.15,1.85856,10.56
47,5,Warri,5.0,1000,200.0,1.25,1.98,11.25
48,4,Warri,4.2,5000,350.0,1.05,1.672,9.5
49,6,Warri,6.0,2000,250.0,1.5,2.41472,13.72
50,1,Abeokuta,4.2,3000,1200.0,1.68,2.5344,9.6
51,3,Abeokuta,4.2,2000,480.0,1.68,2.5344,9.6
52,4,Abeokuta,7.8,5000,1320.0,3.12,4.6464,17.6
53,7,Abeokuta,9.2,3000,960.0,3.68,5.5176,20.9
54,2,Abeokuta,2.0,4000,600.0,0.8,1.188,4.5
55,3,Abeokuta,4.8,1000,240.0,1.92,2.9304,11.1
56,2,Abeokuta,4.6,1000,240.0,1.84,2.78784,10.56
57,2,Abeokuta,5.0,1000,480.0,2.0,2.97,11.25
58,3,Abeokuta,4.2,5000,840.0,1.68,2.508,9.5
59,3,Abeokuta,6.0,2000,600.0,2.4,3.62208,13.72
60,2,Lagos,4.62,3000,1400.0,2.52,2.112,9.6
61,1,Lagos,4.62,2000,560.0,2.52,2.112,9.6
62,3,Lagos,8.58,5000,1540.0,4.68,3.872,17.6
63,3,Lagos,10.12,3000,1120.0,5.52,4.598,20.9
64,1,Lagos,2.2,4000,700.0,1.2,0.99,4.5
65,2,Lagos,5.28,1000,280.0,2.88,2.442,11.1
66,1,Lagos,5.06,1000,280.0,2.76,2.3232,10.56
67,2,Lagos,5.5,1000,560.0,3.0,2.475,11.25
68,1,Lagos,4.62,5000,980.0,2.52,2.09,9.5
69,2,Lagos,6.6,2000,700.0,3.6,3.0184,13.72
70,2,Lagos,3.15,6000,1200.0,6.3,1.6896,9.6
71,0,Lagos,3.15,3000,480.0,6.3,1.6896,9.6
72,3,Lagos,5.85,8000,1320.0,11.7,3.0976,17.6
73,3,Lagos,6.9,5000,960.0,13.8,3.6784,20.9
74,0,Lagos,1.5,5000,600.0,3.0,0.792,4.5
75,2,Lagos,3.6,4000,240.0,7.2,1.9536,11.1
76,1,Lagos,3.45,1000,240.0,6.9,1.85856,10.56
77,2,Lagos,3.75,3000,480.0,7.5,1.98,11.25
78,1,Lagos,3.15,7000,840.0,6.3,1.672,9.5
79,3,Lagos,4.5,2000,600.0,9.0,2.41472,13.72
80,2,Warri,3.15,5000,1200.0,6.3,2.112,9.6
81,0,Warri,3.15,2000,480.0,6.3,2.112,9.6
82,3,Warri,5.85,6000,1320.0,11.7,3.872,17.6
83,3,Warri,6.9,2000,960.0,13.8,4.598,20.9
84,0,Warri,1.5,4000,600.0,3.0,0.99,4.5
85,2,Warri,3.6,2000,240.0,7.2,2.442,11.1
86,1,Warri,3.45,2000,240.0,6.9,2.3232,10.56
87,2,Warri,3.75,1000,480.0,7.5,2.475,11.25
88,1,Warri,3.15,3000,840.0,6.3,2.09,9.5
89,3,Warri,4.5,2000,600.0,9.0,3.0184,13.72
90,6,Kaduna,3.15,3000,500.0,1.26,3.168,9.6
91,5,Kaduna,3.15,2000,200.0,1.26,3.168,9.6
92,8,Kaduna,5.85,5000,550.0,2.34,5.808,17.6
93,10,Kaduna,6.9,3000,400.0,2.76,6.897,20.9
94,3,Kaduna,1.5,4000,250.0,0.6,1.485,4.5
95,5,Kaduna,3.6,1000,100.0,1.44,3.663,11.1
96,4,Kaduna,3.45,1000,100.0,1.38,3.4848,10.56
97,5,Kaduna,3.75,1000,200.0,1.5,3.7125,11.25
98,3,Kaduna,3.15,5000,350.0,1.26,3.135,9.5
99,5,Kaduna,4.5,2000,250.0,1.8,4.5276,13.72
100,1,Kaduna,4.2,6000,600.0,0.84,3.8016,9.6
101,2,Kaduna,4.2,3000,240.0,0.84,3.8016,9.6
102,2,Kaduna,7.8,8000,660.0,1.56,6.9696,17.6
103,2,Kaduna,9.2,5000,480.0,1.84,8.2764,20.9
104,1,Kaduna,2.0,5000,300.0,0.4,1.782,4.5
105,1,Kaduna,4.8,4000,120.0,0.96,4.3956,11.1
106,2,Kaduna,4.6,1000,120.0,0.92,4.18176,10.56
107,1,Kaduna,5.0,3000,240.0,1.0,4.455,11.25
108,0,Kaduna,4.2,7000,420.0,0.84,3.762,9.5
109,3,Kaduna,6.0,2000,300.0,1.2,5.43312,13.72
110,1,Kano,4.2,5000,600.0,0.84,1.6896,9.6
111,2,Kano,4.2,2000,240.0,0.84,1.6896,9.6
112,2,Kano,7.8,6000,660.0,1.56,3.0976,17.6
113,2,Kano,9.2,2000,480.0,1.84,3.6784,20.9
114,1,Kano,2.0,4000,300.0,0.4,0.792,4.5
115,1,Kano,4.8,2000,120.0,0.96,1.9536,11.1
116,2,Kano,4.6,2000,120.0,0.92,1.85856,10.56
117,1,Kano,5.0,1000,240.0,1.0,1.98,11.25
118,0,Kano,4.2,3000,420.0,0.84,1.672,9.5
119,3,Kano,6.0,2000,300.0,1.2,2.41472,13.72
120,0,Kano,4.83,3000,1200.0,2.94,3.5904,9.6
121,3,Kano,4.83,2000,480.0,2.94,3.5904,9.6
122,2,Kano,8.97,5000,1320.0,5.46,6.5824,17.6
123,2,Kano,10.58,3000,960.0,6.44,7.8166,20.9
124,0,Kano,2.3,4000,600.0,1.4,1.683,4.5
125,0,Kano,5.52,1000,240.0,3.36,4.1514,11.1
126,2,Kano,5.29,1000,240.0,3.22,3.94944,10.56
127,3,Kano,5.75,1000,480.0,3.5,4.2075,11.25
128,3,Kano,4.83,5000,840.0,2.94,3.553,9.5
129,2,Kano,6.9,2000,600.0,4.2,5.13128,13.72
130,1,Lagos,4.2,5000,3500.0,1.68,2.5344,9.6
131,0,Lagos,4.2,2000,1400.0,1.68,2.5344,9.6
132,2,Lagos,7.8,6000,3850.0,3.12,4.6464,17.6
133,3,Lagos,9.2,2000,2800.0,3.68,5.5176,20.9
134,1,Lagos,2.0,4000,1750.0,0.8,1.188,4.5
135,1,Lagos,4.8,2000,700.0,1.92,2.9304,11.1
136,2,Lagos,4.6,2000,700.0,1.84,2.78784,10.56
137,3,Lagos,5.0,1000,1400.0,2.0,2.97,11.25
138,0,Lagos,4.2,3000,2450.0,1.68,2.508,9.5
139,1,Lagos,6.0,2000,1750.0,2.4,3.62208,13.72
140,1,Kano,4.2,6000,3500.0,1.68,4.224,9.6
141,0,Kano,4.2,3000,1400.0,1.68,4.224,9.6
142,2,Kano,7.8,8000,3850.0,3.12,7.744,17.6
143,3,Kano,9.2,5000,2800.0,3.68,9.196,20.9
144,1,Kano,2.0,5000,1750.0,0.8,1.98,4.5
145,1,Kano,4.8,4000,700.0,1.92,4.884,11.1
146,2,Kano,4.6,1000,700.0,1.84,4.6464,10.56
147,3,Kano,5.0,3000,1400.0,2.0,4.95,11.25
148,0,Kano,4.2,7000,2450.0,1.68,4.18,9.5
149,1,Kano,6.0,2000,1750.0,2.4,6.0368,13.72
150,2,Kano,4.62,6000,600.0,1.89,2.5344,11.52
151,0,Kano,4.62,3000,240.0,1.89,2.5344,11.52
152,3,Kano,8.58,8000,660.0,3.51,4.6464,21.12
153,3,Kano,10.12,5000,480.0,4.14,5.5176,25.08
154,0,Kano,2.2,5000,300.0,0.9,1.188,5.4
155,2,Kano,5.28,4000,120.0,2.16,2.9304,13.32
156,3,Kano,5.06,1000,120.0,2.07,2.78784,12.672
157,1,Kano,5.5,3000,240.0,2.25,2.97,13.5
158,2,Kano,4.62,7000,420.0,1.89,2.508,11.4
159,3,Kano,6.6,2000,300.0,2.7,3.62208,16.464
160,1,Port Harcourt,4.83,6000,3500.0,0.84,1.6896,11.52
161,3,Port Harcourt,4.83,3000,1400.0,0.84,1.6896,11.52
162,4,Port Harcourt,8.97,8000,3850.0,1.56,3.0976,21.12
163,4,Port Harcourt,10.58,5000,2800.0,1.84,3.6784,25.08
164,0,Port Harcourt,2.3,5000,1750.0,0.4,0.792,5.4
165,3,Port Harcourt,5.52,4000,700.0,0.96,1.9536,13.32
166,2,Port Harcourt,5.29,1000,700.0,0.92,1.85856,12.672
167,1,Port Harcourt,5.75,3000,1400.0,1.0,1.98,13.5
168,4,Port Harcourt,4.83,7000,2450.0,0.84,1.672,11.4
169,2,Port Harcourt,6.9,2000,1750.0,1.2,2.41472,16.464
170,5,Port Harcourt,4.2,3000,1200.0,1.05,2.112,11.52
171,4,Port Harcourt,4.2,2000,480.0,1.05,2.112,11.52
172,8,Port Harcourt,7.8,5000,1320.0,1.95,3.872,21.12
173,9,Port Harcourt,9.2,3000,960.0,2.3,4.598,25.08
174,2,Port Harcourt,2.0,4000,600.0,0.5,0.99,5.4
175,5,Port Harcourt,4.8,1000,240.0,1.2,2.442,13.32
